original_index,kualifikasi
17,"Menguasai teknologi cloud seperti AWS dan Azure, berpengalaman lebih dari 5 tahun dalam bidang arsitektur cloud, bertanggung jawab untuk mendesain solusi cloud yang efektif dan efisien."
18,"Menguasai keterampilan consulting dan strategi IT, berpengalaman dalam bidang IT selama 5+ tahun, bertanggung jawab untuk memberikan konsultasi IT yang efektif dan strategis."
19,"Berpengalaman sebagai Front-end Developer dengan kemampuan menguasai JavaScript dan React, mampu mengembangkan antarmuka web yang responsif dan intuitif, serta bertanggung jawab dalam mengembangkan aplikasi web yang stabil dan efisien dengan pengalaman minimal 3 tahun di bidang pengembangan web."
20,"Menguasai Business Analysis dan Requirements, berpengalaman 3-5 tahun di bidang bisnis, bertanggung jawab untuk menganalisis kebutuhan bisnis dan mengembangkan rencana yang efektif untuk mencapai tujuan perusahaan."
21,"Menguasai troubleshooting dan customer service, serta berpengalaman dalam bidang IT dengan pengalaman kerja 0-1 tahun, bertanggung jawab untuk memberikan dukungan teknis yang efektif kepada pelanggan."
22,"Menguasai DevSecOps dan CI/CD, berpengalaman 3-5 tahun dalam bidang pengembangan perangkat lunak, bertanggung jawab untuk mengembangkan dan mengelola pipeline DevOps yang aman serta mengintegrasikan proses pengembangan dan pengujian ke dalam proses produksi."
23,"Menguasai ETL, Big Data, dan SQL, berpengalaman 3-5 tahun dalam bidang data, bertanggung jawab untuk membangun pipeline data."
24,"Menguasai pelatihan dan pendidikan IT, mampu berpengalaman dalam mengembangkan kemampuan profesional IT selama 1-3 tahun dengan fokus pada bidang pelatihan, bertanggung jawab untuk melatih profesional IT."
25,"Menguasai teknologi keamanan cloud dan mampu mengaplikasikannya dalam pengalaman 3-5 tahun di bidang keamanan cloud, bertanggung jawab untuk mengembangkan dan menjaga keamanan sistem cloud dengan menggunakan kemampuan encryption."
26,"Menguasai proses pengadaan sumber daya IT, berpengalaman dalam bidang procurement selama 3-5 tahun, bertanggung jawab untuk mengelola hubungan dengan vendor serta mampu melakukan pengadaan sumber daya IT secara efektif."
27,"Menguasai User Research dan UX Design, berpengalaman dalam bidang UX Research selama 3-5 tahun, bertanggung jawab untuk melakukan penelitian pengguna untuk mendapatkan informasi yang akurat dan relevan."
28,"Menguasai teknologi blockchain dan memiliki kemampuan yang baik dalam pengembangan blockchain, serta berpengalaman selama 3-5 tahun dalam bidang pengembangan blockchain, bertanggung jawab untuk mengembangkan blockchain yang efektif dan efisien."
29,"Menguasai Risk Assessment dan Compliance, berpengalaman 3-5 tahun di bidang IT, bertanggung jawab untuk menganalisis risiko IT dan memastikan kepatuhan perusahaan dengan standar keamanan dan regulasi yang berlaku."
30,"Menguasai teknologi cloud seperti AWS, Azure, dan Cloud Services, serta berpengalaman dalam mendukung sistem cloud selama 1-3 tahun, bertanggung jawab untuk memberikan dukungan teknis yang efektif dan efisien kepada pengguna sistem cloud."
31,"Menguasai kemampuan penjualan dan teknologi informasi, berpengalaman di bidang IT Sales selama 5+ tahun, bertanggung jawab untuk mengelola tim penjualan IT dan mencapai target penjualan yang ditetapkan."
32,"Menguasai GDPR dan Data Protection, berpengalaman 3-5 tahun di bidang data privacy, bertanggung jawab untuk menjamin keamanan dan privasi data perusahaan."
33,"Menguasai konsep Architecture dan Design Patterns, berpengalaman lebih dari 5 tahun dalam bidang pengembangan software, bertanggung jawab untuk merancang dan mengembangkan sistem software yang efektif."
34,"Menguasai teknik QA dan testing, berpengalaman dalam bidang IT selama 3-5 tahun, bertanggung jawab untuk memastikan kualitas perangkat lunak."
35,"Menguasai teknologi iOS dan Android serta berpengalaman dalam pengembangan mobile sekitar 3-5 tahun, bertanggung jawab untuk mengembangkan aplikasi mobile yang inovatif dan efektif."
36,"Menguasai keterampilan procurement dan supply chain, berpengalaman selama 5+ tahun dalam bidang pengadaan dan rantai pasok, bertanggung jawab untuk mengelola proses pengadaan dan memastikan bahwa kebutuhan perusahaan dipenuhi dengan efektif dan efisien."
37,"Menguasai aspek kompliancy IT, berpengalaman 3-5 tahun dalam bidang kompliancy, bertanggung jawab untuk memastikan kepatuhan IT."
38,"Menguasai teknologi full-stack dengan menggunakan JavaScript dan Node.js, berpengalaman 3-5 tahun dalam pengembangan aplikasi, bertanggung jawab untuk mengembangkan aplikasi full-stack yang lengkap dan efektif."
39,"Menguasai Business Analysis dan IT Strategy, berpengalaman 3-5 tahun di bidang IT, bertanggung jawab untuk menganalisis kebutuhan IT dan mengembangkan strategi IT yang efektif."
40,"Menguasai kemampuan training dan pendidikan IT, berpengalaman dalam bidang IT dengan lama pengalaman 0-1 tahun, bertanggung jawab untuk membantu pelaksanaan pelatihan IT."
41,"Menguasai etika AI dan penggubalan kebijakan AI, berpengalaman selama 3-5 tahun di bidang yang relevan, bertanggung jawab untuk menjamin keberlanjutan dan integritas sistem AI."
42,"Menguasai Windows dan troubleshooting, berpengalaman dalam bidang IT selama 1-3 tahun, bertanggung jawab untuk memberikan dukungan teknis yang efektif dan efisien."
43,"Menguasai Data Analytics dan memiliki kemampuan manajemen tim, berpengalaman selama 5+ tahun di bidang data analytics, bertanggung jawab untuk mengelola dan mengembangkan analisis data untuk mendukung keputusan bisnis."
44,"Menguasai Project Coordination, berpengalaman selama 3-5 tahun di bidang IT, bertanggung jawab untuk mengkoordinasikan proyek-proyek IT."
45,"Menguasai teknologi cloud seperti AWS dan Azure, berpengalaman dalam bidang analisis cloud selama 3-5 tahun, bertanggung jawab untuk menganalisis dan meningkatkan solusi cloud perusahaan."
46,"Menguasai IT Governance dan Compliance, berpengalaman lebih dari 5 tahun dalam bidang IT, bertanggung jawab untuk mengelola IT governance dan memastikan keseluruhan proses IT berjalan sesuai dengan standar dan regulasi yang berlaku."
47,"Menguasai Cybersecurity dan Penetration Testing, berpengalaman 3-5 tahun di bidang IT, bertanggung jawab untuk menjaga keamanan sistem IT dan melakukan tes penetrasi untuk mengidentifikasi kelemahan keamanan."
48,"Menguasai Procurement Analysis, berpengalaman 3-5 tahun di bidang IT procurement, bertanggung jawab untuk menganalisis dan mengidentifikasi kebutuhan IT procurement yang efektif dan efisien."
49,"Menguasai UX Design dan Prototyping, berpengalaman 3-5 tahun dalam bidang UX Design, bertanggung jawab untuk merancang pengalaman pengguna yang efektif."
50,"Menguasai Change Management dan IT Strategy, berpengalaman lebih dari 5 tahun di bidang IT, bertanggung jawab untuk mengelola perubahan IT."
51,"Menguasai IT Service Desk dan Troubleshooting, berpengalaman dalam bidang IT Service Desk selama 0-1 tahun, bertanggung jawab untuk memberikan dukungan layanan service desk."
52,"Menguasai Cloud Security dan mampu melakukan analisis ancaman, berpengalaman dalam bidang keamanan cloud selama 3-5 tahun, bertanggung jawab untuk menganalisis dan meningkatkan keamanan cloud."
53,"Menguasai Business Continuity dan Disaster Recovery, berpengalaman lebih dari 5 tahun di bidang IT, bertanggung jawab untuk memastikan terjalinnya kontinuitas bisnis."
54,"Menguasai Test Automation dan Selenium, berpengalaman 3-5 tahun dalam bidang pengujian otomatisasi software, bertanggung jawab untuk mengautomate proses pengujian software."
55,"Menguasai Data Governance dan Data Quality, berpengalaman 3-5 tahun di bidang yang relevan, bertanggung jawab untuk mengelola data governance dan memastikan kualitas data yang akurat dan lengkap."
56,"Menguasai pelatihan IT dan memiliki kemampuan khusus dalam bidang pelatihan, berpengalaman selama 3-5 tahun dalam mengembangkan dan melaksanakan program pelatihan, bertanggung jawab atas pengembangan dan implementasi program pelatihan yang efektif dan efisien."
57,"Menguasai Machine Learning dan Python, berpengalaman 3-5 tahun dalam bidang pengembangan model Machine Learning, bertanggung jawab untuk mengembangkan model-model Machine Learning yang efektif."
58,"Menguasai IT Asset Management dan Inventory, berpengalaman selama 3-5 tahun dalam bidang IT, bertanggung jawab untuk mengelola aset IT."
59,"Menguasai Security Consulting dengan menggunakan kemampuan analitis dan kreatif untuk memberikan saran dan rekomendasi keamanan yang efektif, berpengalaman selama 3-5 tahun dalam bidang keamanan IT, bertanggung jawab untuk memberikan dukungan dan layanan keamanan yang berkualitas kepada perusahaan."
60,"Menguasai SQL dan Excel, mampu bekerja sama dengan tim untuk menganalisis data, memiliki pengalaman magang selama 0 tahun dalam bidang analisis data, bertanggung jawab untuk menganalisis dan menginterpretasikan data untuk mendukung keputusan bisnis."
61,"Menguasai kemampuan penjualan IT dan memiliki pengalaman yang relevan dalam bidang penjualan IT dengan lama pengalaman 1-3 tahun, bertanggung jawab untuk menjual solusi IT kepada klien dan berkomunikasi efektif dengan tim untuk mencapai target penjualan."
62,"Menguasai Cloud Migration, AWS, dan Azure, serta berpengalaman selama 3-5 tahun dalam bidang migrasi ke cloud, bertanggung jawab untuk mengarahkan proses migrasi ke cloud dengan efektif dan efisien."
63,"Menguasai Procurement Coordination dengan baik, berpengalaman dalam bidang IT procurement selama 3-5 tahun, bertanggung jawab untuk mengkoordinasikan proses pembelian IT."
64,"Menguasai IT Analysis dan mampu melalui pelatihan sebagai IT Analyst, berpengalaman dalam bidang IT selama 0-1 tahun, bertanggung jawab untuk melaksanakan tugas utama pekerjaan sebagai IT Analyst Trainee."
65,"Menguasai UX Research dan Support, mampu membantu dalam pengembangan UX research, berpengalaman dalam bidang pengalaman 0-1 tahun, bertanggung jawab untuk melaksanakan tugas utama sebagai Asisten Penelitian Pengalaman Pengguna."
66,"Menguasai kompetensi Compliance dan Regulations, berpengalaman 3-5 tahun dalam bidang IT, bertanggung jawab untuk memastikan kepatuhan IT."
67,"Menguasai kemampuan dasar programming dan memiliki pengalaman magang selama 0 tahun di bidang software development, bertanggung jawab untuk melaksanakan tugas utama pekerjaan sebagai intern software development."
68,"Menguasai Networking dan mampu mengikuti Training, berpengalaman dalam bidang IT dengan lama pengalaman 0-1 tahun, bertanggung jawab untuk melaksanakan tugas utama sebagai Network Administrator Trainee."
69,"Menguasai cloud computing dan memiliki pengalaman magang selama 0 tahun, mampu bertanggung jawab atas tugas utama pekerjaan sebagai intern cloud solutions."
70,"Menguasai Big Data, Python, dan SQL, serta berpengalaman dalam bidang data selama 3-5 tahun, bertanggung jawab untuk membangun pipeline data."
71,"Menguasai Java dan C++ serta mampu mengembangkan desain software yang efektif, berpengalaman dalam bidang pengembangan software selama 3-5 tahun, bertanggung jawab untuk mengembangkan software yang berkualitas."
72,"Menguasai IT Analysis dan Troubleshooting, berpengalaman 1-3 tahun dalam bidang IT, bertanggung jawab untuk menganalisis sistem IT dan melakukan troubleshooting untuk meningkatkan kinerja dan keamanan sistem."
73,"Menguasai teknologi cloud seperti AWS dan Azure, serta memiliki pengalaman yang luas dalam bidang arsitektur cloud selama 5+ tahun, bertanggung jawab untuk merancang solusi cloud yang efektif dan efisien, serta mampu mengembangkan dan mengimplementasikan solusi cloud yang sesuai dengan kebutuhan perusahaan."
74,"Cybersecurity Analyst yang berpengalaman mampu menguasai Cybersecurity dan mampu melakukan analisis ancaman, serta bertanggung jawab untuk melindungi data dengan pengalaman minimal 3 tahun di bidang keamanan siber."
75,"Menguasai PMP, Agile, dan Project Management, berpengalaman lebih dari 5 tahun dalam pengelolaan proyek, bertanggung jawab untuk mengelola dan mengarahkan tim untuk mencapai tujuan proyek."
76,"Menguasai R, Python, dan Machine Learning, serta berpengalaman 3-5 tahun di bidang analisis data, bertanggung jawab untuk menganalisis big data dan mengembangkan model prediktif yang efektif."
77,"Menguasai teknologi Docker, Jenkins, dan DevOps, dengan pengalaman minimal 3 tahun di bidang devops dan bertanggung jawab untuk mengelola proses pengembangan dan implementasi sistem."
78,"Menguasai Windows, Linux, dan Troubleshooting, serta berpengalaman dalam bidang IT selama 0-1 tahun, bertanggung jawab untuk memberikan dukungan teknis yang efektif dan efisien kepada pengguna."
79,"UX/UI Designer yang berpengalaman menguasai UI/UX Design dan Prototyping serta mampu mengembangkan desain antarmuka pengguna yang efektif, dengan pengalaman kerja minimal 1 tahun di bidang desain, bertanggung jawab untuk merancang dan mengembangkan produk yang user-friendly dan intuitif."
80,"Menguasai Windows Server dan Networking, berpengalaman 3-5 tahun dalam bidang IT, bertanggung jawab untuk menjaga dan memelihara sistem, serta mampu melakukan maintenance sistem secara efektif."
81,"Menguasai keamanan jaringan, mampu mengelola sistem keamanan, berpengalaman dalam bidang keamanan jaringan selama 3-5 tahun, bertanggung jawab untuk memastikan keamanan jaringan, serta menguasai penggunaan firewall untuk melindungi jaringan dari ancaman keamanan."
82,"Menguasai Java dan Python serta berpengalaman dalam pengembangan perangkat lunak selama 3-5 tahun, bertanggung jawab untuk mengembangkan perangkat lunak yang berkualitas tinggi."
83,"Menguasai SQL dan Data Visualization, berpengalaman 1-3 tahun di bidang analisis data, bertanggung jawab untuk menganalisis data dan mengembangkan visualisasi data yang efektif."
84,"Menguasai teknologi Cisco dan Network Troubleshooting, berpengalaman 3-5 tahun di bidang jaringan, bertanggung jawab untuk mengelola jaringan dan melakukan troubleshooting untuk memastikan kinerja jaringan yang optimal."
85,"Menguasai teknologi cloud seperti AWS dan Azure, berpengalaman lebih dari 5 tahun dalam bidang arsitektur cloud, bertanggung jawab untuk merancang solusi cloud yang efektif dan efisien serta mampu mengembangkan dan mengelola infrastruktur cloud yang skalabel dan aman."
86,"Menguasai Java, JavaScript, dan HTML/CSS, serta berpengalaman dalam pengembangan aplikasi web selama 3-5 tahun, bertanggung jawab untuk mengembangkan aplikasi web yang stabil dan efektif."
87,"Menguasai SQL, Excel, dan Data Analysis serta berpengalaman dalam bidang analisis data selama 1-3 tahun, bertanggung jawab untuk menganalisis tren data dan mengidentifikasi pola-pola yang relevan."
88,"Menguasai teknologi Cisco dan Networking, berpengalaman 3-5 tahun di bidang network infrastructure, bertanggung jawab untuk mengelola infrastruktur jaringan."
89,"Menguasai teknologi cloud seperti AWS dan Azure, berpengalaman lebih dari 5 tahun dalam bidang desain cloud, bertanggung jawab untuk merancang solusi cloud yang efektif dan efisien, serta mampu mengembangkan dan mengimplementasikan solusi cloud yang sesuai dengan kebutuhan perusahaan."
90,"Menguasai Cybersecurity dan mampu mendeteksi ancaman, berpengalaman selama 3-5 tahun dalam bidang IT security, bertanggung jawab untuk memastikan keamanan IT."
91,"Menguasai project management dan agile, berpengalaman lebih dari 5 tahun dalam bidang IT, bertanggung jawab untuk mengelola proyek IT dengan efektif dan efisien."
92,"Menguasai Python dan Machine Learning, berpengalaman 3-5 tahun dalam bidang analisis data, bertanggung jawab untuk menganalisis big data."
93,"Menguasai JavaScript, Node.js, dan HTML/CSS, serta berpengalaman 3-5 tahun dalam pengembangan aplikasi web, bertanggung jawab untuk mengembangkan aplikasi web yang kompleks dan stabil."
94,"Menguasai Java dan Python, berpengalaman 3-5 tahun dalam pengembangan software, bertanggung jawab untuk mengembangkan software yang berkualitas."
95,"Menguasai SQL dan Database Management dengan baik, berpengalaman 3-5 tahun dalam bidang database, bertanggung jawab untuk mengelola dan mengatur database serta melakukan manajemen database dengan efektif."
96,"Menguasai Security dan mampu melakukan analisis ancaman, berpengalaman di bidang IT Security selama 3-5 tahun, bertanggung jawab untuk memastikan keamanan IT."
97,"Menguasai HTML, CSS, dan JavaScript serta berpengalaman dalam pengembangan antara 3-5 tahun di bidang front-end, bertanggung jawab untuk mengembangkan antarmuka web yang efektif."
98,"Menguasai standar aksesibilitas digital, HTML, CSS, JavaScript, dan desain pengalaman pengguna, serta berpengalaman dalam bidang pengembangan web dan desain pengalaman pengguna, bertanggung jawab untuk memastikan produk digital memenuhi standar aksesibilitas, meningkatkan kenyamanan pengguna untuk semua pengguna."
99,"Menguasai Big Data Management, Hadoop, Spark, Data Warehousing, dan SQL, serta mampu mengelola dan memastikan integritas serta aksesibilitas data besar, dengan pengalaman yang tidak ada dan pendidikan terbuka untuk semua jenjang dan jurusan, bertanggung jawab untuk mengelola dan mengatur data besar."
100,"Menguasai Agile Methodologies, Scrum, dan Kanban, serta memiliki kemampuan menggunakan Project Management Tools, dengan pengalaman minimal NULL dalam bidang pengalaman yang relevan, bertanggung jawab untuk melaksanakan tugas utama sebagai Agile Project Manager, yaitu mengelola proyek menggunakan kerangka kerja agile, dengan fokus pada pengembangan iteratif dan kolaborasi tim."
101,"Menguasai Java, Kotlin, dan Android SDK, serta memiliki kemampuan dalam pengembangan aplikasi mobile dan perancangan UI/UX, dengan pengalaman yang tidak ada dalam bidang pengembangan aplikasi Android, bertanggung jawab untuk mengembangkan aplikasi mobile yang handal dan menyenangkan bagi pengguna."
102,"Menguasai Ansible, Automation Scripts, Linux, Networking, dan Cloud Computing, serta mampu berpengalaman dalam mengimplementasikan solusi otomatisasi menggunakan Ansible untuk mempercepat proses IT dan bertanggung jawab dalam mendesain dan mengimplementasikan solusi otomatisasi yang efektif."
103,"Menguasai Security Protocols, Penetration Testing, dan Secure Coding Practices, serta mampu mengembangkan aplikasi yang aman dengan mengintegrasikan keamanan dan menguji kelemahan, sementara berpengalaman dalam pengujian keamanan dan bertanggung jawab untuk memastikan kepatuhan dengan standar keamanan."
104,"Menguasai Artifactory dan Repository Management, serta memiliki kemampuan dalam mengelola DevOps Tools dan CI/CD Pipelines, dengan pengalaman minimal NULL dalam bidang yang relevan, bertanggung jawab untuk mengelola repositori artifact dengan efektif dan mengontrol versi dengan baik."
105,"Menguasai Artifactory, DevOps Practices, Continuous Integration, dan Software Packaging, serta mampu mengoptimalkan penggunaan Artifactory untuk pengelolaan dan pengiriman perangkat lunak secara efisien, dengan pengalaman bertanggung jawab dalam mengelola sistem dan mampu beradaptasi dengan kebutuhan perusahaan."
106,"Menguasai AI/ML Frameworks, mampu mengembangkan strategi dan mengawasi tim untuk mengintegrasikan solusi AI, serta berpengalaman dalam pengembangan proyek AI/ML, bertanggung jawab untuk mengembangkan strategi dan mengawasi tim untuk mengintegrasikan solusi AI dengan pengalaman NULL di bidang ini."
107,"Menguasai teknologi Artificial Intelligence/Machine Learning yang maju, mampu mengelola tim, memiliki visi strategis, dan bertanggung jawab atas proyek-proyek senior AI/ML, serta mengatur arah strategis dan mengelola tim dengan efektif."
108,"Menguasai AI/ML Frameworks, mampu mengembangkan sistem arsitektur AI yang skalabel dan efisien, serta berpengalaman dalam mengimplementasikan sistem tersebut, bertanggung jawab atas desain dan implementasi sistem arsitektur AI, serta memiliki kemampuan dalam mengelola data dan infrastruktur cloud."
109,"Menguasai Research Methodologies, AI/ML Algorithms, dan Python, serta mampu melakukan analisis data, seseorang bertanggung jawab untuk mengembangkan algoritma baru dan menerbitkan hasil penelitian untuk meningkatkan teknologi AI."
110,"Menguasai AWS Services, DevOps Practices, CI/CD Pipelines, dan Automation, serta mampu mengelola proses automasi dan memastikan keandalan sistem, dengan pengalaman minimal NULL di bidang IT dan pendidikan terbuka untuk semua jenjang dan jurusan, bertanggung jawab untuk menerapkan praktik DevOps pada AWS dan memastikan keandalan sistem."
111,"Menguasai AWS Services, mampu mengembangkan arsitektur cloud yang skalabel dan efektif dalam biaya, serta bertanggung jawab untuk merancang solusi yang sesuai dengan kebutuhan bisnis."
112,"Menguasai Azure Services, DevOps Practices, CI/CD Pipelines, dan Automation, serta berpengalaman dalam bidang IT, bertanggung jawab untuk menerapkan praktik DevOps pada Azure, mengautomasi proses, dan memastikan keandalan sistem."
113,"Menguasai Bamboo, CI/CD Pipelines, Build Automation, dan Software Configuration Management, serta mampu mengelola proses integrasi dan pengiriman yang terus-menerus dengan efektif, serta bertanggung jawab atas konfigurasi dan manajemen Bamboo."
114,"Menguasai Big Data Technologies, Hadoop, Spark, Data Warehousing, dan System Design, serta mampu mengembangkan dan mengelola solusi big data yang skalabel dan berkinerja tinggi dengan bertanggung jawab atas desain dan implementasi sistem."
115,"Menguasai teknologi Hadoop, Spark, ETL Processes, Data Processing, dan Database Management, serta mampu mengembangkan dan memelihara infrastruktur big data yang memastikan kualitas dan aksesibilitas data."
116,"Menguasai Big Data Technologies, mampu melakukan analisis dan interpretasi data besar untuk mendukung pengambilan keputusan, serta berpengalaman dalam menggunakan SQL dan Data Mining untuk mendapatkan hasil yang akurat, bertanggung jawab atas analisis dan interpretasi data untuk mendukung keputusan strategis perusahaan."
117,"Menguasai Bitbucket, Git, dan Version Control, serta mampu melakukan integrasi CI/CD, dengan pengalaman minimal 1 tahun di bidang pengembangan perangkat lunak dan bertanggung jawab untuk mengelola dan mengkonfigurasi Bitbucket untuk kontrol versi dan kolaborasi yang efisien."
118,"Menguasai Blockchain Technologies, Solidity, Cryptography, dan Smart Contracts, mampu mengembangkan aplikasi blockchain dan kontrak cerdas yang aman dan berfungsi dengan baik, serta bertanggung jawab atas keamanan dan kinerja aplikasi tersebut."
119,"Menguasai CI/CD Pipelines, Build Systems, Automation, dan Configuration Management, mampu mengelola proses build dan release dengan efektif, serta bertanggung jawab atas keamanan dan keandalan proses pengembangan perangkat lunak."
120,"Menguasai Build Systems, Scripting, Automation, dan Software Configuration Management, serta mampu mengembangkan dan menjaga sistem build, serta berpengalaman dalam otomatisasi proses kompilasi dan pengujian perangkat lunak, bertanggung jawab untuk mengembangkan dan menjaga sistem build yang efektif."
121,"Menguasai keahlian Requirements Gathering, Process Analysis, System Design, dan Documentation, serta mampu mengembangkan solusi untuk meningkatkan efisiensi bisnis dengan berpengalaman dalam analisis proses bisnis dan persyaratan sistem, bertanggung jawab untuk mengidentifikasi dan mengatasi masalah, serta mengembangkan rekomendasi untuk perbaikan sistem."
122,"Menguasai C# dan .NET Framework untuk mengembangkan aplikasi dengan fokus pada fungsi dan kinerja, serta memiliki kemampuan untuk mengembangkan aplikasi menggunakan ASP.NET dan prinsip-prinsip pemrograman berorientasi objek."
123,"Menguasai Chef Inspec, Compliance Automation, dan Infrastructure Testing, serta berpengalaman dalam pengembangan Ruby, bertanggung jawab untuk mengautomatisasikan pengujian infrastruktur dan pengujian komplian dengan menggunakan Chef Inspec."
124,"Menguasai Chef, Automation, dan Infrastructure Management, serta mampu berkomunikasi dalam Ruby, dengan pengalaman minimum tidak ada dalam bidang IT, bertanggung jawab untuk mengelola infrastruktur dan mengotomatisasi proses menggunakan Chef."
125,"Menguasai Cloud Platforms, System Administration, Virtualization, dan Networking, serta mampu mengelola dan mempertahankan infrastruktur cloud dengan ketersediaan dan kinerja yang optimal, serta bertanggung jawab atas keamanan dan kestabilan sistem."
126,"Menguasai Cloud Platforms, System Architecture, Cloud Security, dan DevOps, serta mampu mengelola implementasi strategi komputasi awan, berpengalaman dalam mengembangkan dan mengelola infrastruktur cloud, bertanggung jawab atas desain dan pengelolaan strategi komputasi awan perusahaan, NULL."
127,"Menguasai Cloud Automation Tools, mampu mengelola infrastruktur dan proses pengembangan dengan pengalaman 0 tahun di bidang IT, bertanggung jawab untuk otomatisasi proses deployment dan infrastruktur cloud."
128,"Menguasai Cloud Networking, Virtual Networks, Network Security, dan Cloud Platforms, serta mampu mengelola infrastruktur jaringan cloud dengan efektif, berpengalaman dalam mengembangkan dan mengelola jaringan virtual, bertanggung jawab atas keamanan jaringan, dan berperan aktif dalam desain dan pengelolaan infrastruktur jaringan cloud."
129,"Menguasai Cloud Security, Security Protocols, Compliance, dan Cloud Platforms, serta mampu mengelola keamanan lingkungan cloud dengan efektif, berpengalaman dalam mengimplementasikan dan mengelola kebijakan keamanan, dan bertanggung jawab untuk memastikan keseluruhan keamanan sistem dan data."
130,"Menguasai CNC Machines, CAD/CAM Software, G-Code dan Manufacturing Processes dengan pengalaman yang tidak ada dalam bidang ini, bertanggung jawab untuk mengembangkan program-program untuk mesin CNC yang digunakan dalam industri manufaktur."
131,"Menguasai bahasa pemrograman, skrip, serta kemampuan pemecahan masalah dan pengembangan perangkat lunak, dengan pengalaman kerja yang tidak ada, bertanggung jawab untuk menulis dan menguji kode aplikasi perangkat lunak."
132,"Menguasai Animation Software, mampu mengembangkan keterampilan dalam 3D Modeling, Visual Effects, dan Graphic Design, serta berpengalaman dalam menciptakan animasi dan efek visual untuk berbagai media, bertanggung jawab atas tugas utama pekerjaan sebagai Computer Graphics Animator."
133,"Menguasai Hardware Design, Circuit Design, dan Embedded Systems, serta mampu mengembangkan sistem komputer, berpengalaman dalam pengujian, dan bertanggung jawab untuk merancang dan mengembangkan komponen dan sistem komputer."
134,"Menguasai Network Design, Network Protocols, dan Security, serta memiliki kemampuan dalam merancang dan membangun sistem jaringan komputer yang efektif, mampu bekerja dalam tim dan bertanggung jawab atas desain dan implementasi sistem jaringan, dengan pengalaman kerja minimal NULL dan pendidikan terbuka untuk semua jenjang dan jurusan."
135,"Menguasai bahasa pemrograman, algoritma, pengembangan perangkat lunak, serta debugging, serta mampu menulis dan menguji kode untuk menciptakan program perangkat lunak, dengan pengalaman kerja NULL dalam bidang yang relevan, bertanggung jawab untuk menciptakan program perangkat lunak yang efektif dan efisien."
136,"Menguasai metodologi penelitian, mampu menganalisis data, berpengalaman dalam pemrograman, dan memiliki kemampuan menulis ilmiah, serta bertanggung jawab untuk mengembangkan teknologi baru sebagai Computer Research Scientist."
